id,name,description,target_function,signature,output_format,purpose,tags
t1,FetchWeather,"Calls an external API to get current weather.",,,,"","weather;api"
t2,FetchNews,"Retrieves latest news articles.",,,,"","news;api"
t3,BookFlight,"Books flights through provider API.",,,,"","travel;booking"
t4,GetRecipe,"Fetches recipes from a recipes API.",,,,"","food;api"
t5,PlanWorkout,"Generates workout routines.",,,,"","fitness;api"
t6,AnalyzeSpending,"Analyzes spending from transactions.",,,,"","finance;api"
t7,TranslateText,"Translates text between languages.",,,,"","language;api"
t8,CreateTask,"Creates and updates tasks in a task manager.",,,,"","productivity;api"
t9,RunTests,"Executes automated test suites.",,,,"","developer;ci"
t10,FindMovies,"Searches movie database by genre and mood.",,,,"","movies;api"
t11,MeditateGuide,"Provides guided meditation sessions.",,,,"","wellness;audio"
t12,PriceCompare,"Compares product prices across stores.",,,,"","shopping;api"
t13,ScheduleEvent,"Adds events to calendars and sends invites.",,,,"","calendar;api"
t14,PlantDatabase,"Looks up plant species and care instructions.",,,,"","plants;api"
t15,RecipeSearch,"Searches recipes by ingredients and cuisine.",,,,"","food;api"
t16,ChildActivityPlanner,"Generates activities for kids by age.",,,,"","parenting;tools"
t17,ResumeFormatter,"Formats resumes into templates.",,,,"","career;formatter"
t18,StudyTimer,"Pomodoro timer and study session tracker.",,,,"","productivity;timer"
t19,EventChecklist,"Creates checklists for event planning.",,,,"","events;planner"
t20,RepairGuide,"Step-by-step home repair instructions.",,,,"","diy;guide"
t21,LanguageFlashcards,"Generates flashcards for language learning.",,,,"","education;language"
t22,NutritionCalc,"Calculates calories and macros for meals.",,,,"","nutrition;calculator"
t23,LegalGlossary,"Provides definitions of common legal terms.",,,,"","legal;reference"
t24,PropertySearch,"Searches real estate listings and filters results.",,,,"","realestate;api"
t25,FlashcardGenerator,"Creates flashcards from input text or notes.",,,,"","education;tools"
t26,GardenScheduler,"Schedules planting and watering reminders.",,,,"","gardening;scheduler"
t27,BudgetTracker,"Tracks expenses and categorizes spending.",,,,"","finance;tracker"
t28,CoverLetterWriter,"Drafts cover letters tailored to jobs.",,,,"","career;writing"
t29,MockInterview,"Runs mock interviews and scores responses.",,,,"","career;practice"
t30,GroupScheduler,"Finds common free times for groups.",,,,"","productivity;calendar"
t31,PetHealthLookup,"Lookup common pet health issues and care tips.",,,,"","pets;health"
t32,GiftFinderAPI,"Aggregates gift suggestions from stores.",,,,"","shopping;api"
t33,LocalEventsFeed,"Fetches local event listings and details.",,,,"","local;events"
t34,SmartHomeControl,"Controls smart home devices (lights, thermostat).",,,,"","home;iot"
t35,InventoryManager,"Tracks stock levels and restock alerts.",,,,"","business;inventory"
t36,InvoiceGenerator,"Creates invoices from order data.",,,,"","finance;billing"
t37,CustomerSupportBot,"Automates customer support responses.",,,,"","support;nlp"
t38,SentimentAnalyzer,"Analyzes sentiment of text inputs.",,,,"","nlp;analysis"
t39,VideoTranscoder,"Converts videos to multiple formats and bitrates.",,,,"","media;tools"
t40,ImageResizer,"Resizes and optimizes images for web use.",,,,"","media;images"
t41,EmailScheduler,"Schedules and sends batch emails.",,,,"","communication;email"
t42,OrderTracking,"Tracks shipping status from carriers.",,,,"","logistics;api"
t43,DiscountNotifier,"Notifies users of new discounts and coupons.",,,,"","shopping;notifications"
t44,WorkoutTracker,"Logs workouts and progress over time.",,,,"","fitness;tracker"
t45,SleepCoach,"Provides personalized sleep improvement tips.",,,,"","wellness;sleep"
t46,TaxEstimator,"Estimates taxes based on income and deductions.",,,,"","finance;tax"
t47,RecipeNutrition,"Adds nutrition facts to recipes.",,,,"","food;nutrition"
t48,LanguageTutor,"Provides language lessons and exercises.",,,,"","education;language"
t49,TrafficAlerts,"Provides live traffic congestion and incident alerts.",,,,"","maps;traffic"
t50,ParcelPriceCalc,"Calculates shipping costs for parcels.",,,,"","logistics;calculator"
t51,ConferenceMatcher,"Matches attendees with similar interests.",,,,"","events;networking"
t52,PodcastFinder,"Finds podcasts by topic and popularity.",,,,"","audio;media"
t53,SavingsGoalPlanner,"Creates savings plans and progress tracking.",,,,"","finance;savings"
t54,MealPlanner,"Generates weekly meal plans with grocery lists.",,,,"","food;planner"
t55,LanguageDetector,"Detects language of input text automatically.",,,,"","nlp;language"
t56,CodeFormatter,"Automatically formats source code to style guides.",,,,"","developer;tools"
t57,AccessibilityChecker,"Checks web pages for accessibility issues.",,,,"","web;accessibility"
t58,ResumeScorer,"Scores resumes against job descriptions.",,,,"","career;ai"
t59,EmojiRecommender,"Suggests emojis based on message tone.",,,,"","social;nlp"
t60,MapRouteOptimizer,"Optimizes multi-stop routes for drivers.",,,,"","maps;optimization"
t61,VolunteerFinder,"Finds volunteer opportunities nearby.",,,,"","community;local"
t62,BikeShareLookup,"Shows nearby bike share availability.",,,,"","transport;local"
t63,LanguageProofreader,"Proofreads text for grammar and style.",,,,"","writing;language"
t64,EventBudgetPlanner,"Estimates event budgets and cost breakdowns.",,,,"","events;finance"
t65,WorkoutMusicPicker,"Creates playlists for workout intensity and length.",,,,"","music;fitness"
t66,ProductReviewSummarizer,"Summarizes product reviews across sites.",,,,"","shopping;nlp"
t67,MarketTrends,"Provides market trend charts and insights.",,,,"","finance;analysis"
t68,StockAlert,"Notifies when a stock hits price thresholds.",,,,"","finance;alerts"
t69,LanguagePronunciation,"Generates pronunciation audio for words.",,,,"","language;audio"
t70,HomeEnergyEstimator,"Estimates home energy use and savings.",,,,"","home;energy"
t71,AppointmentReminders,"Sends reminders for appointments and bookings.",,,,"","calendar;notifications"
t72,StudyPlanner,"Creates study schedules and goals.",,,,"","education;planner"
t73,SocialPostScheduler,"Schedules social media posts across platforms.",,,,"","social;marketing"
t74,ConferenceAgendaBuilder,"Builds agendas from session proposals.",,,,"","events;planner"
t75,CodeSecurityScanner,"Scans code for security vulnerabilities.",,,,"","developer;security"
t76,LanguageQuizGenerator,"Generates quizzes for language practice.",,,,"","education;language"
t77,DonationPlatform,"Facilitates donations and fundraising campaigns.",,,,"","charity;payments"
t78,RecipeIngredientScaler,"Scales recipe ingredient quantities by servings.",,,,"","food;tools"
t79,NeighborhoodSafetyFeed,"Aggregates local safety reports and alerts.",,,,"","local;safety"
t80,ChildSleepConsult,"Provides child sleep schedules and tips.",,,,"","parenting;wellness"
t81,FreelanceMatcher,"Matches freelancers to projects by skills.",,,,"","career;marketplace"
t82,MediaRightsChecker,"Checks licensing status for media assets.",,,,"","media;legal"
t83,CarMaintenanceScheduler,"Schedules car maintenance tasks and reminders.",,,,"","auto;maintenance"
t84,LanguageConversationBot,"Simulates conversational practice in target language.",,,,"","language;chatbot"
t85,PlantWateringAssistant,"Advises watering schedules by plant and season.",,,,"","gardening;assistant"
t86,ConferenceTicketing,"Manages ticket sales and check-ins for events.",,,,"","events;sales"
t87,RecipeMealMatcher,"Matches recipes to dietary restrictions and goals.",,,,"","food;diet"
t88,CityGuideAPI,"Provides city guides and points of interest.",,,,"","travel;local"
t89,CryptoPriceFeed,"Provides live cryptocurrency prices and history.",,,,"","finance;crypto"
t90,PatentSearch,"Searches patent databases for prior art.",,,,"","legal;research"
t91,LearningPathCreator,"Creates personalized learning paths for skills.",,,,"","education;planning"
t92,PriceAlertCreator,"Creates alerts for price drops on saved items.",,,,"","shopping;alerts"
t93,HouseholdChoreRota,"Generates household chore schedules and assignments.",,,,"","home;organizer"
t94,PodcastTranscriber,"Transcribes podcast audio to text.",,,,"","audio;transcription"
t95,RecipePhotoEnhancer,"Enhances food photos for presentation.",,,,"","media;food"
t96,JobFeedAggregator,"Aggregates job listings from multiple boards.",,,,"","career;jobs"
t97,TimeZoneConverter,"Converts times across time zones and DST.",,,,"","time;tools"
t98,TravelVisaChecker,"Checks visa requirements by nationality and destination.",,,,"","travel;legal"
t99,EventFeedbackCollector,"Collects and summarizes event attendee feedback.",,,,"","events;survey"
t100,MeetingNotesSummarizer,"Summarizes meeting transcripts into action items.",,,,"","productivity;nlp"
